sample,haplotype,grade,fai_path,label,color
COLO829BL,hap1,A+,,,#d95f02
COLO829BL,hap2,A+,,,#d95f02
ST001,hap1,B-,,,#7570b3
ST001,hap2,B-,,,#7570b3
ST002,hap1,B-,,,#8a89c4
ST002,hap2,B-,,,#8a89c4
ST003,hap1,B-,,,#a4a1d6
ST003,hap2,B-,,,#a4a1d6
ST004,hap1,B-,,,#b8b9e0
ST004,hap2,B-,,,#b8b9e0
SMHT004,hap1,A+,,,#dbb29b
SMHT004,hap2,A+,,,#dbb29b
SMHT012,hap1,A+,,,#d9814d
SMHT012,hap2,A+,,,#d9814d
T2T-CHM13,hap1,ref,,,#1b9e77
hg38,hap1,ref,,,#66c2a5
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r1,hap1,hprc_r1,,,#9E7D2C
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
hprc_r2,hap1,hprc_r2,,,#d197c7
